Title,Online_price,MRP_price,image_url,Product_href
,,,,
,,,,
"Lenovo IdeaPad Slim 3i (82H801CSIN) 15.6"" FHD Laptop (Core i5-1135G7 / 8GB /256GB SSD /Iris Xe Graphics /Win 10 /Office'19) Arctic Grey","56,500","₹59,990₹59,990",https://m.media-amazon.com/images/I/61jbOQZmWGL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg2_1?ie=UTF8&adId=A018766014RNKNDAXGLFD&url=%2FLenovo-82H801CSIN-i5-1135G7-Graphics-Office19%2Fdp%2FB09B284L38%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26qid%3D1628622553%26s%3Dcomputers%26sr%3D1-25-spons%26psc%3D1%26smid%3DA2W4R6KXCY4TRS&qualifier=1628622553&id=6986256157306568&widgetName=sp_atf_browse
"Lenovo IdeaPad Slim 3i (82H801CSIN) 15.6"" FHD Laptop (Core i5-1135G7 / 8GB /256GB SSD /Iris Xe Graphics /Win 10 /Office'19) Arctic Grey","56,500","₹59,990₹59,990",https://m.media-amazon.com/images/I/61jbOQZmWGL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg2_1?ie=UTF8&adId=A018766014RNKNDAXGLFD&url=%2FLenovo-82H801CSIN-i5-1135G7-Graphics-Office19%2Fdp%2FB09B284L38%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26qid%3D1628622553%26s%3Dcomputers%26sr%3D1-25-spons%26psc%3D1%26smid%3DA2W4R6KXCY4TRS&qualifier=1628622553&id=6986256157306568&widgetName=sp_atf_browse
"(Renewed) Lenovo Thinkpad Laptop X260 Intel Core i5 - 6300u Processor, 8 GB Ram & 256 GB ssd, Win10, 12.5 Inches 1.3 KG Ultralight Computer","46,390","₹1,29,000₹1,29,000",https://m.media-amazon.com/images/I/41HjDPvBQEL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg2_1?ie=UTF8&adId=A05145503CEGMH5KGHVDT&url=%2FRenewed-Lenovo-Thinkpad-Laptop-Intel%2Fdp%2FB09B71WC56%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26qid%3D1628622553%26s%3Dcomputers%26sr%3D1-26-spons%26psc%3D1&qualifier=1628622553&id=6986256157306568&widgetName=sp_atf_browse
"Lenovo Legion Y540 9th Gen Intel Core i5-9300HF 15.6"" (39.63cm) FHD IPS Gaming Laptop (8GB/1TB + 256GB SSD/Windows 10/NVIDIA GTX 1650 4GB/60Hz Refresh Display/Raven Black/2.3Kg), 81SY00UBIN","60,990","₹86,690₹86,690",https://m.media-amazon.com/images/I/71zm3gbS9SL._AC_UL320_.jpg,/Lenovo-i5-9300HF-39-63cm-Windows-81SY00UBIN/dp/B092MT55XP/ref=sr_1_27?dchild=1&qid=1628622553&s=computers&sr=1-27
"Lenovo IdeaPad Slim 3 2021 Intel Core i3 11th Gen 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/256GB SSD/Windows 10/MS Office/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41kg), 82H700J8IN","47,000","₹51,900₹51,900",https://m.media-amazon.com/images/I/61XJ6xrICAL._AC_UL320_.jpg,/Lenovo-IdeaPad-Fingerprint-Warranty-82H700J8IN/dp/B096SHTH39/ref=sr_1_28?dchild=1&qid=1628622553&s=computers&sr=1-28
"Lenovo Legion 5 10th Gen Intel Core i5-10300H 15.6"" (39.63cm) FHD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB/120Hz Refresh Display/Phantom Black/2.3Kg), 82AU00PMIN","68,490","₹93,690₹93,690",https://m.media-amazon.com/images/I/61p3lA4N3uL._AC_UL320_.jpg,/Lenovo-i5-10300H-39-63cm-Windows-82AU00PMIN/dp/B097TYRFJJ/ref=sr_1_29?dchild=1&qid=1628622553&s=computers&sr=1-29
"Lenovo V15 AMD Ryzen 5 15.6""(39.62cms) FHD Thin and Light Laptop (8GB/1TB HDD/Windows 10/AMD Radeon Vega 8 Graphics/Iron Grey/1.85Kg), 82C7003PIH","45,990","₹58,900₹58,900",https://m.media-amazon.com/images/I/61U0JQ6HnHL._AC_UL320_.jpg,/Lenovo-V15-Windows-Graphics-82C7003PIH/dp/B08HJJKDSH/ref=sr_1_30?dchild=1&qid=1628622553&s=computers&sr=1-30
Lenovo 82C700D4IH V15 ADA Laptop (AMD Athlon Silver 3050U/4GB Ram/ 1TB HDD/ 15.6 inch HD AG/ DOS/Integrated AMD Radeon Graphics/ Iron Grey),"27,295","₹29,990₹29,990",https://m.media-amazon.com/images/I/51RSK3t7tsL._AC_UL320_.jpg,/Lenovo-82C700D4IH-Laptop-Integrated-Graphics/dp/B08DHT9JSK/ref=sr_1_31?dchild=1&qid=1628622553&s=computers&sr=1-31
