product_name,product_price1,product_price2,image_url,product_href
"Lenovo IdeaPad 3i Laptop 43,9 cm (17,3 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Slim Notebook (Intel Pentium Gold 7505, 8GB RAM, 512GB SSD, Intel UHD-Grafik, Windows 10 Home) grau  ","499,00","599,00 €",https://m.media-amazon.com/images/I/71uLkwVSMwS._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-entspiegelt-UHD-Grafik/dp/B08THP1Y4F/ref=sr_1_1?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-1
"Lenovo Yoga Slim 7 Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView) EVO Slim Notebook (Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe-Grafik, Windows 10 Home) grau  ","999,00","1.149,00 €",https://m.media-amazon.com/images/I/51CfDlXcscS._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-i7-1165G7-Xe-Grafik/dp/B08NXGCWDT/ref=sr_1_2?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-2
"Lenovo IdeaPad 3 Laptop 39,6 cm (15,6 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Slim Notebook (AMD Ryzen 5 5500U, 16GB RAM, 512GB SSD, AMD Radeon Grafik, Windows 10 Home) grau  ","729,00",,https://m.media-amazon.com/images/I/71FwCVjaCOS._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-entspiegelt-Notebook/dp/B08THMB7ZZ/ref=sr_1_3?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-3
"Lenovo IdeaPad 5 Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Slim Notebook (AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, AMD Radeon Grafik, Windows 10 Home) silber  ","699,00",,https://m.media-amazon.com/images/I/711T+eUdgqL._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-entspiegelt-Notebook/dp/B08THR3S8G/ref=sr_1_4?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-4
"Lenovo IdeaPad 1i 29,5 cm (11,6 Zoll, 1366x768, HD, entspiegelt) Slim Notebook (Intel Celeron N4020, 4GB RAM, 128GB SSD, Intel UHD-Grafik 600, Windows 10 Home S, inkl. Microsoft 365 Single) silber  ","287,95","349,00 €",https://m.media-amazon.com/images/I/51fokZdMQ+L._AC_UL320_.jpg,/Lenovo-1366x768-entspiegelt-UHD-Grafik-Microsoft/dp/B08VGGHNXS/ref=sr_1_5?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-5
"Lenovo IdeaPad Duet 3i (10,3 Zoll, 1920x1200, Full HD, WideView, Touch) 2-in-1 Tablet (Intel Celeron N4020, 4GB RAM, 64GB eMMC, WLAN, Intel UHD-Grafik 600, Win 10 Home inkl. Microsoft 365 Single) grau  ","339,00","399,00 €",https://m.media-amazon.com/images/I/71ax205QFHL._AC_UL320_.jpg,/Lenovo-IdeaPad-1920x1200-WideView-UHD-Grafik/dp/B08D16ZY5Q/ref=sr_1_6?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-6
"Lenovo IdeaPad Gaming 3i Laptop 39,6 cm (15,6 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Gaming Notebook (Intel Core i5-10300H, 8GB RAM, 512GB SSD, NVIDIA GeForce GTX 1650, Win10 Home) schwarz  ","849,00","899,00 €",https://m.media-amazon.com/images/I/61c3fgYog2L._AC_UL320_.jpg,/Lenovo-1920x1080-entspiegelt-Notebook-i5-10300H/dp/B0868YPMBQ/ref=sr_1_7?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-7
"Lenovo IdeaPad Flex 5 Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView, Touch) Convertible Notebook (AMD Ryzen 5 4500U, 8GB RAM, 256GB SSD, AMD Radeon Grafik, Windows 10 Home) silber  ","679,00",,https://m.media-amazon.com/images/I/61NkYh8uEaL._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-Convertible-Notebook/dp/B08DNZ26TY/ref=sr_1_8?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-8
"Lenovo IdeaPad Flex 3 Chromebook 29,5 cm (11,6 Zoll, 1366x768, HD, WideView, Touch) Slim Notebook (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Intel UHD-Grafik 600, ChromeOS) beige  ","329,00","369,00 €",https://m.media-amazon.com/images/I/7144pdLCW6L._AC_UL320_.jpg,/Lenovo-Chromebook-1366x768-Ultraslim-UHD-Grafik/dp/B08CZWFCH7/ref=sr_1_9?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-9
"Lenovo Yoga 7i Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView, Touch) EVO Convertible Notebook (Intel Core i7-1165G7, 16GB RAM, 1TB SSD, Intel Iris Xe Grafik, Win 10 Home) grau  ","1.349,00",,https://m.media-amazon.com/images/I/71nsfDaVDqL._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-Convertible-i7-1165G7/dp/B08KHFNXVW/ref=sr_1_10?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-10
"Lenovo Legion 5 Laptop 39,6 cm (15,6 Zoll, 1920x1080, FHD, WideView, 300nits, 165Hz, entspiegelt) Gaming Notebook (AMD Ryzen 7 5800H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 3060, Win 10 H) dunkelblau  ","1.449,00",,https://m.media-amazon.com/images/I/61ghGPBTa+S._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-entspiegelt-dunkelblau/dp/B08THLYWM5/ref=sr_1_11?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-11
"Lenovo IdeaPad 5 Pro 40,64 cm (16 Zoll, 2560x1600, WQXGA, WideView, entspiegelt) Slim Notebook (AMD Ryzen 5 5600H, 16GB RAM, 512GB SSD, AMD Radeon Grafik, Windows 10 Home) dunkelgrau  ","899,00",,https://m.media-amazon.com/images/I/71AKaz8vxhS._AC_UL320_.jpg,/Lenovo-2560x1600-WideView-entspiegelt-dunkelgrau/dp/B091B2S3HW/ref=sr_1_12?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-12
"Lenovo IdeaPad Flex 5i Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView, Touch) Convertible Notebook (Intel Pentium Gold 7505, 8GB RAM, 256GB SSD, Intel UHD-Grafik, Windows 10 Home S) Silber  ","579,00",,https://m.media-amazon.com/images/I/61NkYh8uEaL._AC_UL320_.jpg,/Lenovo-5i-Laptop-1920x1080-Convertible-UHD-Grafik/dp/B08THR819Z/ref=sr_1_13?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-13
"Lenovo IdeaPad 3i Laptop 39,6 cm (15,6 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Slim Notebook (Intel Core i3-1115G4, 8GB RAM, 512GB SSD, Intel UHD-Grafik, Windows 10 Home) silber  ","599,00",,https://m.media-amazon.com/images/I/71q2VBdiDrL._AC_UL320_.jpg,/Lenovo-1920x1080-entspiegelt-i3-1115G4-UHD-Grafik/dp/B08KHG1B67/ref=sr_1_14?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-14
"Lenovo Legion 5 Laptop 43,9 cm (17,3 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Gaming Notebook (AMD Ryzen 7 5800H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 3060, Windows 10 Home) dunkelblau  ","1.599,00",,https://m.media-amazon.com/images/I/61bWGeYtk9S._AC_UL320_.jpg,/Lenovo-1920x1080-WideView-entspiegelt-dunkelblau/dp/B08THSTJ2K/ref=sr_1_15?dchild=1&qid=1629175603&refinements=p_89%3ALenovo%2Cp_n_feature_fourteen_browse-bin%3A8321930031%7C8321931031%2Cp_n_condition-type%3A776949031&rnid=776942031&s=computers&sr=1-15
