Title,Price excl. btw,price incl. btw,Code,product_href
Lenovo ThinkSmart Hub All-in-one pc - Zwart,"1.951,-
       ","2.360,71",11H10002MB,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/hub-art-11h10002mb-num-12164400/
Lenovo ThinkSmart HUB 500 All-in-one pc - Zwart,"1.683,-
       ","2.036,43",10V50002NX,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/hub-500-art-10v50002nx-num-11132572/
Lenovo V30a All-in-one pc - Zwart,"709,-
       ","857,89",11LA000PMB,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/v30a-art-11la000pmb-num-12107084/
Lenovo ThinkCentre M90a All-in-one pc - Zwart,"898,-
       ","1.086,58",11CD004RMB,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/dt-m-aio-m90a-i5-10500-8gb-512gb-w10p-art-11cd004rmb-num-12224735/
Lenovo ThinkCentre M820z All-in-one pc - Zwart,"954,-
       ","1.154,34",10SC002WMB,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/m820z-art-10sc002wmb-num-10316373/
Lenovo ThinkCentre M90a All-in-one pc - Zwart,"1.050,-
       ","1.270,50",11CD005NMB,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/dt-m-aio-m90a-i7-10700-16gb-512gb-w10p-art-11cd005nmb-num-12224738/
Lenovo ThinkCentre M90a All-in-one pc - Zwart,"1.141,-
       ","1.380,61",11CD004MMB,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/tc-m90a-i5-10500-8gb-256gb-w10p-art-11cd004mmb-num-12203695/
Lenovo ThinkSmart Hub All-in-one pc - Zwart,"1.901,-
       ","2.300,21",11H30002MB,https://www.centralpoint.be/nl/all-in-one-pcs-workstations/lenovo/hub-art-11h30002mb-num-12102534/
Lenovo ThinkCentre M720 i3 8GB RAM 256GB SSD Pc - Zwart,"547,-
       ","661,87",10ST002YMB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/m720-i3-8gb-ram-256gb-ssd-art-10st002ymb-num-7791631/
Lenovo ThinkCentre M720t i5 8GB RAM 256GB SSD Pc - Zwart,"661,-
       ","799,81",10SQ002GMB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/m720t-i5-8gb-ram-256gb-ssd-art-10sq002gmb-num-7791625/
Lenovo ThinkStation P520c Xeon W-2123 16GB RAM 256GB SSD Pc - Zwart,"1.279,-
       ","1.547,59",30BX000MMB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/p520c-xeon-w-2123-16gb-ram-256gb-ssd-art-30bx000mmb-num-7287825/
Lenovo P520c Xeon W-2125 16GB RAM 256GB SSD + 1TB HDD Pc - Zwart,"1.533,-
       ","1.854,93",30BX000RMB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/p520c-xeon-w-2125-16gb-ram-256gb-ssd-plus-1tb-hdd-art-30bx000rmb-num-7806783/
Lenovo ThinkCentre M920s i5 8GB RAM 256GB SSD Pc - Zwart,"819,-
       ","990,99",10SJ001JMB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/m920s-i5-8gb-ram-256gb-ssd-art-10sj001jmb-num-7742183/
Lenovo M83 Tiny\i5-4590T\4G\500G\W7P+81COA+RDVD Pc - Zwart,"645,-
       ","780,45",10E90001MB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/m83-tinyi5-4590t4g500gw7p-plus-81coa-plus-rdvd-art-10e90001mb-num-3196163/
Lenovo ThinkCentre M630e i3 4GB RAM 128GB SSD Pc - Zwart,"357,-
       ","431,97",10YM0028MB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/thinkcentre-m630e-i3-4gb-ram-128gb-ssd-art-10ym0028mb-num-8304693/
Lenovo V35s Pc - Zwart,"381,-
       ","461,01",11HF001WMB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/ts-desktop-ln-v35s-07ada-a33250u-8g-n-w1-art-11hf001wmb-num-11733203/
Lenovo V50s Pc - Zwart,"436,-
       ","527,56",11EF0017MB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/v50s-art-11ef0017mb-num-11735161/
Lenovo V35s Pc - Zwart,"444,-
       ","537,24",11HF000UMB,https://www.centralpoint.be/nl/pcs-werkstations/lenovo/v35s-sff-r-5-3500u-8gb-256gb-w10p-art-11hf000umb-num-11391404/
