Title,price1,price2,Code,Product_href
Lenovo - ThinkPad (PC portable),"1 053,69 ? HT","1 264,43 ? TTC",20R50004MB,https://www.inmac-wstore.com/lenovo-thinkpad-pc-portable-pc-portable-20r50004mb/p7229638.htm
Lenovo ThinkPad X1 Nano Gen 1 - 13" - Core i7 1160G7 - Evo - 16 Go RAM - 512 Go SSD - Français,"1 835,40 ? HT","2 202,48 ? TTC",20UN002VFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-nano-gen-1-13-core-i7-1160g7-evo-16-go-ram-512-go-ssd-francais/p7257584.htm
Lenovo - ThinkPad (PC portable),"1 040,00 ? HT","1 248,00 ? TTC",20S7S3H007,https://www.inmac-wstore.com/lenovo-thinkpad-pc-portable-pc-portable-20s7s3h007/p7261817.htm
Lenovo - ThinkPad (PC portable),"485,55 ? HT","582,66 ? TTC",20Q8S1QG00,https://www.inmac-wstore.com/lenovo-thinkpad-pc-portable-pc-portable-20q8s1qg00/p30044997.htm
Lenovo ThinkPad X1 Fold Gen 1 - 13.3" - Core i5 L16G7 - 8 Go RAM - 512 Go SSD - Français,"1 955,45 ? HT","2 346,54 ? TTC",20RL000GFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-fold-gen-1-13-3-core-i5-l16g7-8-go-ram-512-go-ssd-r-u/p7251720.htm
Lenovo ThinkPad X1 Yoga Gen 5 - 14" - Core i5 10210U - 16 Go RAM - 512 Go SSD - Français,"1 661,89 ? HT","1 994,27 ? TTC",20UB0043FR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-yoga-gen-5-14-core-i5-10210u-16-go-ram-512-go-ssd-francais/p7252222.htm
Lenovo - ThinkPad (PC portable),"1 356,10 ? HT","1 627,32 ? TTC",20QGS61E00,https://www.inmac-wstore.com/lenovo-thinkpad-pc-portable-pc-portable-20qgs61e00/p30053899.htm
Lenovo ThinkPad E15 Gen 3 - 15.6" - Ryzen 5 5500U - 8 Go RAM - 512 Go SSD - Français,"772,49 ? HT","926,99 ? TTC",20YG000JFR,https://www.inmac-wstore.com/lenovo-thinkpad-e15-gen-3-15-6-ryzen-5-5500u-8-go-ram-512-go-ssd-francais/p7263272.htm
Lenovo ThinkPad L14 Gen 1 - 14" - Core i5 10210U - 8 Go RAM - 256 Go SSD - Français,"849,00 ? HT","1 018,80 ? TTC",20U1000WFR,https://www.inmac-wstore.com/lenovo-thinkpad-l14-gen-1-14-core-i5-10210u-8-go-ram-256-go-ssd-francais/p7217191.htm
Lenovo ThinkPad E14 Gen 2 - 14" - Core i7 1165G7 - 8 Go RAM - 256 Go SSD - Français,"875,18 ? HT","1 050,22 ? TTC",20TA000BFR,https://www.inmac-wstore.com/lenovo-thinkpad-e14-gen-2-14-core-i7-1165g7-8-go-ram-256-go-ssd-francais/p7253247.htm
Lenovo ThinkPad E15 Gen 2 - 15.6" - Core i3 1115G4 - 8 Go RAM - 256 Go SSD - Français,"749,00 ? HT","898,80 ? TTC",20TD001RFR,https://www.inmac-wstore.com/lenovo-thinkpad-e15-gen-2-15-6-core-i3-1115g4-8-go-ram-256-go-ssd-francais/p7257936.htm
Lenovo ThinkPad T14 Gen 1 - 14" - Core i5 10210U - 8 Go RAM - 256 Go SSD - Français,"1 249,00 ? HT","1 498,80 ? TTC",20S00011FR,https://www.inmac-wstore.com/lenovo-thinkpad-t14-gen-1-14-core-i5-10210u-8-go-ram-256-go-ssd-francais/p7217183.htm
Lenovo ThinkPad E15 Gen 2 - 15.6" - Core i7 1165G7 - 8 Go RAM - 256 Go SSD - Français,"990,00 ? HT","1 188,00 ? TTC",20TD0002FR,https://www.inmac-wstore.com/lenovo-thinkpad-e15-gen-2-15-6-core-i7-1165g7-8-go-ram-256-go-ssd-francais/p7254158.htm
Lenovo ThinkPad E15 - 15.6" - Core i5 10210U - 8 Go RAM - 256 Go SSD,"769,00 ? HT","922,80 ? TTC",20RES6DF03,https://www.inmac-wstore.com/lenovo-thinkpad-e15-15-6-core-i5-10210u-8-go-ram-256-go-ssd/p7260350.htm
Lenovo ThinkPad T15 Gen 2 - 15.6" - Core i7 1165G7 - 16 Go RAM - 512 Go SSD - Français,"1 609,00 ? HT","1 930,80 ? TTC",20W40090FR,https://www.inmac-wstore.com/lenovo-thinkpad-t15-gen-2-15-6-core-i7-1165g7-16-go-ram-512-go-ssd-francais/p7264800.htm
Lenovo ThinkPad T15 Gen 1 - 15.6" - Core i5 10210U - 8 Go RAM - 256 Go SSD - Français,"1 190,00 ? HT","1 428,00 ? TTC",20S6000MFR,https://www.inmac-wstore.com/lenovo-thinkpad-t15-gen-1-15-6-core-i5-10210u-8-go-ram-256-go-ssd-francais/p7217187.htm
Lenovo ThinkPad E15 Gen 2 - 15.6" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"875,00 ? HT","1 050,00 ? TTC",20TD0017FR,https://www.inmac-wstore.com/lenovo-thinkpad-e15-gen-2-15-6-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7254870.htm
Lenovo ThinkPad E14 Gen 2 - 14" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"825,00 ? HT","990,00 ? TTC",20TA002CFR,https://www.inmac-wstore.com/lenovo-thinkpad-e14-gen-2-14-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7252473.htm
Lenovo V15-ADA - 15.6" - Ryzen 3 3250U - 8 Go RAM - 256 Go SSD - Français,"519,00 ? HT","622,80 ? TTC",82C70007FR,https://www.inmac-wstore.com/lenovo-v15-ada-15-6-ryzen-3-3250u-8-go-ram-256-go-ssd-francais/p7222291.htm
Lenovo ThinkBook 14 G2 ARE - 14" - Ryzen 5 4500U - 8 Go RAM - 512 Go SSD - Français,"676,65 ? HT","811,98 ? TTC",20VF0048FR,https://www.inmac-wstore.com/lenovo-thinkbook-14-g2-are-14-ryzen-5-4500u-8-go-ram-512-go-ssd-francais/p7252238.htm
Lenovo ThinkBook 15 G2 ITL - 15.6" - Core i3 1115G4 - 8 Go RAM - 256 Go SSD - Français,"699,00 ? HT","838,80 ? TTC",20VE0008FR,https://www.inmac-wstore.com/lenovo-thinkbook-15-g2-itl-15-6-core-i3-1115g4-8-go-ram-256-go-ssd-francais/p7252234.htm
